Industry,Company,Case Study Link
"Advertising, Media & Entertainment",Comcast,https://www.snowflake.com/en/customers/all-customers/case-study/comcast/
"Advertising, Media & Entertainment",Keywords Studios,https://www.snowflake.com/en/customers/all-customers/case-study/keywords-studios/
"Advertising, Media & Entertainment",Power Digital,https://www.snowflake.com/en/customers/all-customers/case-study/power-digital/
Financial Services,BlackRock,https://www.snowflake.com/en/customers/all-customers/case-study/blackrock/
Financial Services,Ramp,https://www.snowflake.com/en/customers/all-customers/case-study/ramp/
Financial Services,Square,https://www.snowflake.com/en/customers/all-customers/case-study/square/
"Healthcare & Life Sciences",Ginkgo Bioworks,https://www.snowflake.com/en/customers/all-customers/case-study/ginkgo-bioworks/
"Healthcare & Life Sciences",Pfizer,https://www.snowflake.com/en/customers/all-customers/case-study/pfizer/
"Healthcare & Life Sciences",Curative,https://www.snowflake.com/en/customers/all-customers/case-study/curative/
"Manufacturing & Industrial",o3sigma,https://www.snowflake.com/en/customers/all-customers/case-study/o3sigma/
"Manufacturing & Industrial",Toyota Motor,https://www.snowflake.com/en/customers/video/toyota-motor-europe/
"Manufacturing & Industrial",BMW Group,https://www.snowflake.com/en/customers/all-customers/case-study/bmw-group/
Public Sector,City of Tacoma,https://www.snowflake.com/en/customers/video/city-of-tacoma/
Public Sector,Imperial College Healthcare NHS Trust,https://www.snowflake.com/en/customers/video/imperial-college-healthcare-nhs-trust/
Public Sector,City and County of San Francisco,https://www.snowflake.com/en/customers/case-study/city-and-county-of-san-francisco/
"Retail & Consumer Goods",Huel,https://www.snowflake.com/en/customers/all-customers/case-study/huel/
"Retail & Consumer Goods",Simba,https://www.snowflake.com/en/customers/all-customers/case-study/simba-sleep/
"Retail & Consumer Goods",Fanatics,https://www.snowflake.com/en/customers/video/fanatics/
Technology,Snyk,https://www.snowflake.com/en/customers/all-customers/case-study/snyk/
Technology,Zendesk,https://www.snowflake.com/en/customers/video/zendesk/
Technology,aiOla,https://www.snowflake.com/en/customers/all-customers/case-study/aiola/
Telecom,Zoom,https://www.snowflake.com/en/customers/video/zoom/
Telecom,AT&T,https://www.snowflake.com/en/customers/video/att/
Telecom,Dialog,https://www.snowflake.com/en/customers/video/dialog/
